companyName,contactPerson,mobile,email,country,state,notes
Gulshan Polyols Ltd (Chhindwara Unit),Arvind Singhal,+91-7162-245000,purchase.mp@gulshanindia.com,India,Madhya Pradesh,500 KLPD grain-based ethanol unit. PITCH: High-starch yellow corn bulk contract trial shipment.
Balrampur Chini Mills Ltd (Distillery),Rakesh Jha,+91-5872-261000,grain.procure@bcml.in,India,Uttar Pradesh,Dual-feedstock grain distillery. PITCH: Direct truckload/rake maize supply with guaranteed low aflatoxin.
Godavari Biorefineries Ltd,B. G. Hegde,+91-8350-260000,procurement.sameerwadi@somaiya.com,India,Karnataka,Grain & corn ethanol conversion plant. PITCH: High-protein feedstock corn supply for ethanol & DDGS production.
Globus Spirits Ltd (Samalkha Unit),Devender Hooda,+91-180-2578000,purchase.samalkha@globusgroup.in,India,Haryana,160 KLPD grain distillery. PITCH: Daily truckload supply trial for broken/commercial yellow maize.
Japfa Comfeed India Pvt Ltd,Sandeep Kulkarni,+91-20-66440000,procure.india@japfacomfeed.com,India,Maharashtra,Leading poultry & animal feed miller. PITCH: Clean, fungal-free yellow maize feed sample for toxin testing.
CP Foods India (Charoen Pokphand),Mohan Kumar,+91-8572-278000,grain.purchase@cp-india.com,India,Andhra Pradesh,Massive livestock & poultry feed miller. PITCH: Bulk maize supply for feed mill with <1% broken grains.
KSE Limited (Kerala Solvent Extractions),Babu Thomas,+91-487-2331212,purchase@kselimited.com,India,Kerala,Top cattle feed manufacturer in South India. PITCH: Clean feed-grade maize supply; sample for starch & moisture analysis.
Avanti Feeds Ltd,K. V. Rao,+91-8813-231300,purchase@avantifeeds.com,India,Andhra Pradesh,Aquafeed & animal nutrition giant. PITCH: High quality yellow maize for extrusion feed processing trial.
Anmol Feeds Pvt Ltd,Sumit Ghosh,+91-33-40108000,procurement@anmolfeeds.com,India,West Bengal,Eastern India's top poultry feed miller. PITCH: Bihar/Bengal maize supply; send sample of current crop harvest.
Sneha Farms Pvt Ltd,Rajesh Goud,+91-40-27720000,purchase@snehafarms.com,India,Telangana,Integrated poultry & feed company. PITCH: Urgent truckload supply of feed maize for Hyderabad feed plant.
Godrej Agrovet Ltd (Khanna Unit),Harpreet Singh,+91-1628-226000,purchase.khanna@godrejagrovet.com,India,Punjab,Major North India animal feed plant. PITCH: Regular bulk supply trial of vetted yellow corn.
IB Group (ABIS Exports India),Sunil Agrawal,+91-7744-224000,grain.sourcing@ibgroup.co.in,India,Chhattisgarh,Major livestock, poultry & feed giant. PITCH: Contract pricing trial for bulk maize delivery.
Sona Processors & Starch Ltd,Ashok Kabra,+91-1482-246000,purchase@sonagroup.in,India,Rajasthan,Industrial corn starch for textile sizing. PITCH: High-starch raw maize delivery with lab assay report.
Tirupati Starch & Chemicals Ltd,Manoj Goyal,+91-7292-277000,purchase@tirupatistarch.com,India,Madhya Pradesh,Native and modified maize starch manufacturer. PITCH: Immediate supply quote & grain sample for starch wet milling test.
Sayaji Industries Ltd (Bijnor Plant),Akhil Sharma,+91-1342-262000,procure.north@sayajigroup.in,India,Uttar Pradesh,Large northern maize wet-milling facility. PITCH: Direct farm/aggregator yellow maize trial shipment.
HL Agro Products Pvt Ltd,Rahul Sahu,+91-512-2334455,purchase@hlagro.com,India,Uttar Pradesh,Food grade corn starch & liquid glucose plant. PITCH: Commercial sample dispatch for grain density and moisture check.
Kaveri Agri Products & Feeds,P. Sengottaiyan,+91-4286-220000,kaverifeeds@gmail.com,India,Tamil Nadu,Poultry feed capital hub producer. PITCH: South India delivery of yellow maize rakes for poultry feed.
SKM Egg Products Export India Ltd,N. Chandran,+91-424-2551521,purchase@skmfeed.com,India,Tamil Nadu,Export-oriented egg & layer feed manufacturer. PITCH: Strict low-aflatoxin certified yellow maize sample trial.
