companyName,contactPerson,mobile,email,country,state,notes
Mohini Pellet Energy,Amit Tyagi (Sales & Procurement),+91-7942553162,info@mohinipelletenergy.com,India,Uttar Pradesh,Partapur Industrial Area Meerut. Biomass pellet & mustard briquette factory. CALL: Request trial shipment pricing and lab GCV report.
Onkar Enterprises,Onkar Patidar (Director),+91-8047305987,onkarenterprises@gmail.com,India,Madhya Pradesh,Sanwer Road Industrial Area Indore. Agro-biomass briquette plant. CALL: Discuss trial batch purchase.
Smarttech Industry Pvt Ltd,Jaspreet Singh (Managing Director),+91-9872223344,info@smarttechindustry.in,India,Punjab,GT Road Khanna Plant. Biomass pellets manufacturer. CALL: Connect with purchase desk for bulk supply.
Teri Mehar Agro Fuel Industries,Gurmeet Singh (Owner),+91-9814455667,terimeharagro@gmail.com,India,Punjab,Focal Point Ludhiana. Biomass fuel briquettes & wood pellets. CALL: Pitch raw material supply or sample test batch.
Nishant Bioenergy Pvt Ltd,Ramesh Nibhoria (Director),+91-9814108849,info@nishantbioenergy.com,India,Punjab,Dera Bassi Industrial Area. Biomass energy solutions. CALL: Direct call to Director Ramesh Nibhoria for commercial partnership.
Chaudhary Girraj And Sons Infra Pvt Ltd,Girraj Meena (Plant Lead),+91-9414123890,cgsinfra@gmail.com,India,Rajasthan,RIICO Industrial Area Baran. Mustard husk biomass briquettes. CALL: Ask for purchase team regarding mustard husk briquettes.
Jaipur Agro Industries Ltd,Rajendra Saini (Purchase Officer),+91-141-2334455,info@jaipuragro.co.in,India,Rajasthan,Vishwakarma Industrial Area Jaipur. Mustard & groundnut pellets. CALL: Quote bulk trial batch.
Bhagirath Bio Energy LLP,Bhagirath Sharma (Partner),+91-9876543210,bhagirathbio@gmail.com,India,Punjab,Kotkapura Road Faridkot. Biomass pellets plant. CALL: Inquire about monthly feedstock requirement.
Maharashtra Agri Era Pvt Ltd,Nilesh Jadhav (Plant Incharge),+91-9822334455,contact@maharashtraagriera.com,India,Maharashtra,Chakan MIDC Pune. Rice straw biomass pellets. CALL: Pitch trial supply for boiler testing.
Bluecraft Agro (Yamunanagar Plant),Factory Purchase Desk,+91-1732-251596,procurement@bluecraftagro.com,India,Haryana,Yamunanagar Starch Factory (Tel: 01732-251596). Major maize starch producer. CALL: Ask for Grain Purchase Officer to pitch 50 MT yellow maize trial.
Sukhjit Starch & Chemicals Ltd,S. K. Sardana (Mill Head),+91-1824-260396,sukhjit@sukhjitgroup.com,India,Punjab,Sarai Road Phagwara Starch Mill (Tel: 01824-260396/260214). Major corn starch factory. CALL: Ask for Raw Materials / Maize Purchase Manager.
Sahyadri Starch & Industries Pvt Ltd,Dilip Patil (Plant Head),+91-22-46042732,info@sahyadristarch.com,India,Maharashtra,Miraj Sangli Factory (Head Office Tel: 022-46042732 / 022-22062775). Maize wet milling plant. CALL: Request Grain Procurement Manager.
Haryana Agro Industries Corp (Cattle Feed Plant),Subhash Chand (Plant Incharge),+91-1681-256100,haic.jind@gmail.com,India,Haryana,HAIC Feed Complex Jind (Tel: 01681-256100 / 255730). Cattle & poultry feed plant. CALL: Ask for Tender/Purchase Officer for maize procurement.
Sunjin India Feeds Pvt Ltd,Jignesh Patel (Purchase Dept),+91-9624063121,sunjinindia@sunjin.com,India,Gujarat,Kheda Industrial Feed Plant. Commercial livestock & cattle feed. CALL: Speak with Jignesh Patel regarding feed-grade yellow maize sample delivery.
Optima Poultry Pvt Ltd,R. Murugesan (Purchase Desk),+91-422-4970764,purchase@optimapoultry.com,India,Tamil Nadu,Annur Road Coimbatore Factory (Mobile: +91 9047778205). Poultry feed manufacturing. CALL: Inquire about raw maize grain requirements.
RGS Feeds,G. Shanmugam (Factory Incharge),+91-7200026166,rgsfeeds@gmail.com,India,Tamil Nadu,Kangayam Road Erode Plant (Alt: 097897 74166). Cattle & poultry feed factory. CALL: Offer sample batch of yellow corn for moisture testing.
CP Aquaculture (India) Pvt Ltd,K. Suresh (Feed Procurement),+91-44-26419467,cpfeed@cp-india.com,India,Tamil Nadu,Ambattur Industrial Estate Chennai (Tel: 044-26419467). Global CP Group feed plant. CALL: Ask for Grain Purchase Dept for bulk yellow corn.
Everest Starch India Pvt Ltd,Ketan Shah (Director),+91-2752-282000,info@evereststarch.com,India,Gujarat,Wadhwan GIDC Surendranagar Factory (Ahmedabad: 079-26584000). Maize starch plant. CALL: Connect with Raw Material Purchase for yellow maize supply.
Grainspan Nutrients Pvt Ltd,Tejas Patel (Sourcing Head),+91-79-40203000,rawmaterial@grainspan.com,India,Gujarat,Sanand GIDC Ahmedabad. Mega grain-based ethanol plant. CALL: Ask for Grain Sourcing Desk to book maize rake delivery.
Grainotch Industries Ltd,Sanjay Thorat (Plant Manager),+91-240-2554000,info@grainotch.com,India,Maharashtra,Paithan Industrial Area Aurangabad. Grain-based ethanol distillery. CALL: Inquire with Purchase Manager for yellow maize supply contract.
Hindustan Animal Feeds,Bharat Bhai (Sales & Procure),+91-288-2567000,hafjamnagar@gmail.com,India,Gujarat,Hapa Industrial Estate Jamnagar (Tel: 0288-2567000). Animal & poultry feed plant. CALL: Pitch truckload supply of quality maize.
Yash Chemicals (Starch Division),Yashwant Shinde (Owner),+91-8047544067,yashchemicals@gmail.com,India,Maharashtra,Bhosari MIDC Pune. Maize starch & industrial chemicals. CALL: Offer competitive maize starch or raw corn quotes.
Bharat Oorja Distilleries Pvt Ltd,Alok Kumar (Plant Manager),+91-6454-245000,procure@bodpl.com,India,Bihar,Maranga Industrial Growth Centre Purnia. Major maize & grain ethanol distillery. CALL: Pitch direct farm/aggregator maize rake delivery.
Indus Biofuels and Spirits Pvt Ltd,Jagjit Singh (Commercial Head),+91-1874-240000,indusbiofuels@gmail.com,India,Punjab,Batala Road Gurdaspur. Grain ethanol distillery. CALL: Speak with Purchase Desk regarding yellow maize moisture <14% supply.
Growthpath Petrochem Pvt Ltd (Biofuels),Manish Doshi (Procurement Incharge),+91-2641-256000,info@growthpath.in,India,Gujarat,Dahej SEZ Factory. Grain ethanol distillery. CALL: Request meeting with Head of Grain Procurement.
Malbros International Pvt Ltd (Distillery),Deepinder Singh (Purchase Head),+91-1632-245000,malbrosdistillery@gmail.com,India,Punjab,Mansurwal Kalan Zira Ferozepur. Grain distillery. CALL: Ask for Deepinder Singh for commercial maize trial supply.
Aonla Distilleries Pvt Ltd,P. K. Saxena (General Manager),+91-581-2560000,aonladistilleries@gmail.com,India,Uttar Pradesh,Aonla Industrial Area Bareilly. Grain-based ethanol unit. CALL: Connect with Grain Sourcing Desk for yellow maize quotes.
SKM Animal Feeds and Foods Ltd,N. Chandran (GM Purchase),+91-424-2551521,purchase@skmfeed.com,India,Tamil Nadu,Perundurai Road Erode Factory. Major feed manufacturing complex. CALL: Ask for GM Purchase for low-aflatoxin yellow maize trial.
Anmol Feeds Pvt Ltd (Muzaffarpur Plant),Rajesh Jha (Plant Purchase),+91-621-2270000,muzaffarpur@anmolfeeds.com,India,Bihar,Bela Industrial Area Muzaffarpur. Major Bihar feed manufacturing plant. CALL: Pitch local Bihar yellow maize harvest supply.
